SMILES,148_KAG,290_KBA,178_KAA,154_KAN,212_KAL,342_KAI,104_KAF,260_KAF,140_KAC,168_KAK,314_KAF,340_KAH,22_KAI,156_KAE,80_KAD,92_KAM,222_KAV,210_KAF,216_KAA,204_KAM,296_KAW,220_KAH,286_KAM,200_KAR,134_KAC,216_KAN,134_KAH,322_KAK,72_KAI,182_KAD,304_KAQ,140_KAD,268_KAL,192_KAO,284_KAJ,310_KAQ,58_KAF,8_KAI,34_KAS,56_KAS,22_KAJ
N(C(=O)Nc1ccccc1)NC(=O)CCC,-6.7,-6.4,-6.2,-5.5,-6.1,-5.9,-6.3,-5.5,-5.3,-5.4,-5.4,-5.6,-6.0,-6.1,-5.1,-4.9,-5.3,-6.3,-5.9,-4.4,-6.2,-5.3,-4.8,-6.4,-5.5,-5.6,-6.1,-5.2,-5.4,-5.8,-5.6,-6.0,-5.8,-6.9,-4.9,-6.4,-5.9,-6.7,-5.2,-5.5,-5.9
N(C(=O)c1ccc2c(c1)OCO2)([C@H]1CCS(=O)(=O)C1)CC(C)C,-7.4,-6.9,-6.0,-5.0,-5.8,-5.6,-6.4,-6.4,-5.3,-5.5,-6.0,-5.7,-5.7,-6.2,-5.1,-5.6,-5.9,-6.8,-7.2,-4.7,-7.1,-5.5,-5.5,-6.0,-5.8,-5.7,-6.1,-5.4,-6.3,-6.7,-6.4,-5.7,-6.3,-7.7,-5.2,-6.1,-6.5,-6.3,-5.2,-6.0,-6.2
[C@H](c1ncc([nH]1)c1ccc(Cl)cc1)(NC(=O)C1CCN(C)CC1)CCCCCC(=O)C,-7.9,-6.9,-6.2,-6.3,-6.3,-6.3,-7.5,-6.4,-6.8,-5.4,-6.4,-6.6,-7.1,-6.2,-5.5,-6.4,-6.4,-8.3,-7.4,-5.0,-8.5,-6.5,-5.8,-6.1,-6.9,-6.4,-7.3,-5.8,-6.6,-7.4,-7.0,-6.6,-7.1,-8.3,-6.0,-8.0,-6.6,-8.1,-6.5,-6.9,-7.1
c1(ccc(cc1)C(=O)N[C@@H]1CCOC[C@H]1C(=O)NO)Cn1c(nc2ccccc12)C(C)(C)F,-8.7,-8.4,-7.1,-6.7,-7.5,-7.1,-8.5,-7.5,-7.5,-7.3,-8.0,-7.0,-7.5,-7.1,-7.1,-6.7,-7.5,-8.5,-9.2,-6.3,-9.2,-6.9,-7.6,-6.4,-7.5,-8.1,-8.5,-7.4,-7.5,-9.2,-7.7,-7.9,-7.7,-9.4,-6.9,-8.3,-8.9,-7.8,-7.3,-8.3,-8.1
N(C(=O)c1ccccc1)([C@@H](C)C#N)CCc1ccccc1,-6.7,-6.5,-5.9,-6.0,-5.0,-5.5,-6.7,-5.6,-5.4,-5.5,-5.4,-5.9,-5.8,-5.9,-5.2,-5.3,-5.8,-7.1,-7.0,-4.9,-7.4,-5.1,-5.9,-6.3,-5.7,-6.0,-6.1,-5.1,-5.9,-6.1,-5.7,-5.0,-6.7,-7.2,-5.1,-6.5,-5.8,-5.7,-5.4,-5.9,-6.3
c1(ccc(cc1)CN1CCC[C@H](C1)C(=O)N(CC)CC)CN1CCC[C@@H](C1)C(=O)N(CC)CC,-7.7,-6.3,-6.8,-5.6,-5.4,-5.9,-7.8,-7.2,-5.7,-5.8,-6.6,-6.2,-6.0,-5.7,-5.1,-5.8,-6.0,-7.2,-7.8,-4.7,-8.1,-5.4,-6.1,-4.5,-7.2,-6.7,-7.0,-6.1,-7.0,-7.0,-6.7,-5.4,-6.6,-8.4,-5.7,-7.3,-6.8,-6.0,-6.1,-6.4,-6.4
c1(sc(Nc2ccc(cc2)c2cccc(c2)OC)nc1c1ccccc1)C(=O)OCC,-8.2,-7.5,-7.3,-6.5,-6.7,-6.9,-8.2,-7.0,-7.2,-6.8,-7.2,-6.7,-7.6,-6.5,-6.4,-6.6,-7.1,-9.2,-8.2,-5.8,-9.2,-6.1,-7.2,-6.2,-8.1,-8.1,-7.6,-6.0,-7.3,-7.9,-6.8,-6.8,-8.0,-8.8,-6.6,-7.9,-7.8,-7.4,-6.8,-7.2,-7.8
c1(c(C)c(n(c1C)CC(=O)Nc1cccc(F)c1)c1ccccc1)C(=O)OCC,-7.6,-7.8,-6.0,-5.9,-6.2,-5.7,-7.0,-6.4,-6.3,-6.1,-6.7,-6.6,-7.1,-6.7,-5.9,-6.8,-6.7,-8.3,-8.5,-5.2,-7.9,-5.8,-6.5,-6.0,-6.8,-7.5,-7.4,-5.7,-6.8,-6.7,-7.2,-6.4,-7.9,-8.3,-5.7,-6.9,-6.9,-6.5,-6.1,-7.5,-6.8
Clc1cccc2c1O[C@H](CO2)[C@H]1NCCN1,-6.4,-6.0,-5.6,-4.9,-5.2,-5.4,-5.9,-5.4,-5.0,-5.2,-5.2,-5.0,-5.8,-5.8,-5.1,-5.4,-5.3,-5.9,-6.5,-4.8,-6.3,-5.7,-5.1,-5.7,-6.1,-5.5,-6.4,-4.8,-5.5,-6.4,-5.9,-5.5,-5.4,-6.9,-4.8,-6.7,-5.6,-5.5,-5.3,-6.2,-5.8
c1(ccc(c(N2CCC[C@@H](C2)N)n1)C1CC1)n1c2cc(ncc2cn1)c1cncc(c1)CC,-9.5,-8.5,-7.9,-6.7,-7.4,-6.7,-9.0,-8.3,-7.7,-7.8,-8.4,-8.0,-9.1,-7.4,-6.8,-7.7,-8.2,-10.0,-9.3,-6.4,-9.0,-7.6,-7.7,-7.5,-8.1,-8.8,-8.8,-7.4,-8.4,-9.0,-8.3,-7.1,-8.4,-9.3,-7.5,-8.1,-8.7,-8.2,-7.6,-8.5,-8.2
c1(ccccc1CN1CCCCC1)OCc1cccc(c1)N(=O)=O,-7.8,-7.0,-6.5,-5.4,-6.4,-5.8,-7.6,-6.1,-5.9,-5.3,-6.3,-6.4,-7.0,-6.6,-6.3,-6.3,-6.1,-7.3,-6.9,-4.9,-8.0,-5.9,-6.4,-6.8,-6.3,-6.5,-7.4,-6.0,-6.4,-7.4,-6.9,-6.3,-6.6,-8.2,-5.0,-6.8,-6.6,-6.0,-5.5,-6.8,-6.7
n1(c(cc2c1CCCC2)c1cccc(c1)C(F)(F)F)c1cc(c(cc1)O)C(=O)O,-9.1,-8.1,-7.6,-6.9,-7.1,-7.0,-8.7,-7.5,-6.8,-7.1,-7.1,-8.1,-8.0,-7.8,-7.3,-7.7,-7.5,-9.2,-8.2,-6.1,-9.1,-6.9,-7.6,-7.2,-7.5,-7.2,-8.4,-6.9,-8.1,-8.3,-7.8,-7.5,-8.1,-9.2,-6.7,-8.3,-7.7,-7.9,-6.5,-7.8,-8.0
N1(C(=O)[C@@H](N(C1=S)CCCN1CCN(CC1)Cc1ccccc1)CC(=O)Nc1ccc(cc1)OCCC)CC=C,-7.6,-7.1,-6.1,-5.5,-6.2,-5.2,-6.6,-7.6,-5.7,-6.2,-6.8,-6.0,-6.9,-6.2,-5.5,-5.7,-6.6,-7.7,-7.9,-4.5,-8.1,-6.4,-5.7,-5.1,-6.8,-7.4,-7.5,-5.9,-6.8,-6.9,-6.5,-6.0,-6.8,-8.1,-6.1,-7.3,-6.9,-6.5,-5.6,-6.1,-6.8
O(C(=O)[C@@H](C)NN)CC=C(C)C,-4.8,-4.5,-5.0,-4.2,-4.2,-4.7,-4.7,-4.0,-4.1,-3.8,-4.0,-4.0,-4.1,-4.4,-3.7,-3.7,-4.1,-5.2,-4.7,-4.3,-5.3,-3.7,-4.0,-5.3,-4.5,-4.4,-4.6,-3.6,-3.9,-4.5,-4.5,-4.3,-4.2,-5.1,-3.2,-4.7,-4.3,-4.7,-4.0,-4.3,-4.2
c1(cc2c(cc1N1CCOCC1)n(C)c(=O)c(=O)n2C)NS(=O)(=O)c1ccc(C)cc1,-8.5,-8.2,-7.3,-6.7,-7.0,-6.1,-7.4,-7.5,-6.5,-6.8,-7.4,-7.2,-7.7,-6.9,-6.3,-6.8,-7.7,-9.0,-8.3,-5.4,-8.6,-6.6,-6.9,-6.3,-7.8,-7.9,-7.8,-6.5,-8.2,-8.1,-7.6,-6.8,-7.8,-8.7,-6.8,-7.7,-8.1,-7.5,-7.4,-7.2,-8.2
C(=O)(c1ccc(F)cc1)Cn1c(cc(C)n1)C,-7.0,-6.1,-6.0,-5.7,-5.6,-5.8,-6.5,-5.6,-5.3,-5.4,-5.3,-5.3,-6.1,-5.7,-4.8,-5.4,-5.4,-6.9,-6.5,-4.8,-6.8,-5.2,-5.0,-6.2,-6.1,-5.7,-6.0,-5.0,-5.4,-6.2,-5.9,-5.4,-5.8,-7.1,-4.6,-6.3,-5.6,-5.6,-5.2,-6.0,-5.8
[C@]12(O[C@H]([C@]([C@@](O1)([C@@H]([C@@H]2O)OC(=O)/C=C\[C@@H](C)C[C@@H](C)CC)C(=O)O)(O)C(=O)O)CO)CCC(=C)[C@H]([C@@H](C)Cc1ccccc1)OC(=O)C,-7.9,-7.4,-6.1,-6.0,-5.8,-5.5,-7.8,-7.0,-5.9,-6.3,-6.8,-6.0,-7.1,-6.2,-5.5,-6.3,-7.0,-7.8,-7.3,-4.8,-7.4,-5.1,-7.0,-5.9,-6.7,-6.7,-7.7,-5.9,-7.0,-7.2,-6.4,-5.7,-6.4,-8.0,-6.1,-7.0,-6.0,-6.2,-6.4,-5.9,-6.7
c1(cccc(c1)NC(=O)c1cc(F)cc(F)c1)c1n2ccnc(N)c2nc1,-9.0,-8.2,-7.4,-7.4,-8.2,-7.5,-8.6,-7.9,-7.6,-7.3,-7.9,-7.4,-8.5,-7.1,-6.8,-7.0,-7.4,-8.7,-8.8,-6.0,-8.9,-7.0,-7.3,-8.1,-7.8,-7.9,-9.0,-6.8,-8.0,-8.7,-8.5,-7.5,-8.0,-10.0,-6.8,-9.0,-8.0,-8.5,-7.3,-7.7,-8.4
c1(cc2cc(ccc2[nH]c1=O)NC(=O)N)Nc1cccc(c1)NC(=O)C,-8.5,-7.7,-7.3,-7.3,-7.8,-7.5,-9.1,-7.8,-7.8,-7.3,-7.7,-7.3,-8.3,-7.6,-6.7,-6.9,-7.2,-8.8,-8.7,-6.4,-9.0,-7.3,-7.0,-7.5,-7.9,-8.3,-8.4,-6.7,-7.6,-9.4,-8.6,-7.7,-7.8,-9.0,-7.0,-8.9,-8.2,-7.6,-7.3,-8.1,-7.9
C(C(=O)/C=C/c1cc(c(cc1)OC(=O)CCNCCCl)OC)[C@@H](O)/C=C\c1ccc(c(c1)OC)OC(=O)CCNCCCl,-6.4,-6.4,-5.9,-5.7,-6.3,-5.4,-7.0,-6.4,-4.6,-5.2,-5.6,-5.5,-6.7,-5.1,-5.0,-5.0,-5.9,-7.4,-6.9,-3.8,-6.3,-4.8,-5.6,-5.2,-6.7,-6.5,-6.6,-4.9,-6.2,-5.8,-6.0,-5.1,-5.5,-6.5,-5.4,-6.3,-6.1,-7.2,-5.8,-5.1,-5.1
c1(cc2c(=O)oc3ccc(C)cc3c2s1)C(=O)N(c1ccccc1F)CC,-8.8,-7.5,-6.9,-6.5,-6.8,-6.3,-7.8,-7.0,-6.7,-6.8,-7.8,-7.2,-7.6,-7.2,-6.4,-7.5,-7.3,-8.9,-8.5,-5.5,-8.5,-6.4,-6.7,-7.3,-6.3,-7.7,-8.2,-6.2,-7.5,-8.7,-7.3,-6.6,-7.6,-9.1,-6.5,-7.2,-7.7,-7.1,-6.9,-7.2,-7.5
c1(ccc(cc1F)c1cc(cnc1N)c1ccnn1C)/C(=N/[C@H](c1cccc(C)c1)CO)/O,-8.5,-8.3,-6.8,-7.0,-6.6,-7.7,-9.0,-7.5,-7.2,-7.6,-8.0,-8.0,-9.1,-7.8,-7.2,-7.3,-7.5,-8.9,-9.8,-6.0,-9.0,-7.1,-7.3,-7.2,-8.1,-8.0,-8.3,-7.2,-7.8,-8.5,-8.1,-7.8,-7.5,-9.3,-7.0,-8.2,-8.6,-7.5,-7.3,-7.6,-8.2
c1(cc(n[nH]1)C(=O)O)c1c(cc(C)c(c1)C)C,-7.8,-6.7,-5.9,-6.7,-6.4,-6.9,-7.5,-6.1,-6.4,-5.7,-5.8,-6.0,-6.7,-6.9,-5.5,-6.0,-6.2,-7.5,-7.2,-5.5,-7.3,-5.7,-5.7,-6.8,-6.7,-6.4,-6.8,-5.6,-6.3,-6.6,-6.7,-6.5,-6.4,-7.5,-5.3,-7.0,-6.4,-7.1,-5.6,-6.4,-6.4
N(C(=O)[C@@H]1CCCN(C1)S(=O)(=O)C)c1cccc(c1)OC,-6.8,-6.7,-5.7,-5.5,-6.3,-6.6,-6.8,-5.7,-5.5,-5.5,-6.2,-5.9,-6.0,-6.0,-5.6,-5.7,-6.1,-7.1,-6.8,-4.6,-6.9,-5.9,-5.3,-6.1,-6.0,-6.2,-6.9,-5.4,-6.0,-6.5,-6.3,-5.7,-6.4,-7.4,-5.3,-6.7,-6.2,-6.2,-5.4,-6.2,-6.1
[C@@H]1(SC(=NC1=O)Nc1ccc(cc1)O)CC(=O)O,-6.6,-6.2,-5.2,-5.2,-5.8,-6.1,-6.3,-5.7,-5.3,-5.5,-5.6,-5.3,-6.0,-5.6,-5.5,-5.2,-5.4,-6.5,-6.6,-4.2,-6.5,-5.4,-5.1,-6.3,-5.4,-5.6,-6.0,-5.2,-5.4,-6.4,-5.9,-5.4,-5.7,-6.7,-5.6,-6.6,-6.7,-6.0,-5.6,-5.8,-5.7
C(=O)(NNC(=O)c1ccc(o1)N(=O)=O)c1cc2ccc(cc2cc1)N,-8.2,-7.1,-7.0,-6.3,-6.9,-7.5,-8.4,-6.9,-6.6,-7.1,-7.4,-7.4,-8.0,-7.3,-6.9,-6.8,-6.7,-8.5,-7.9,-5.6,-8.6,-6.8,-6.5,-7.1,-7.2,-7.5,-7.7,-6.4,-7.4,-7.8,-7.3,-6.7,-7.2,-9.1,-6.3,-8.1,-7.2,-7.8,-6.7,-7.2,-7.5
N(=C(\C)/c1ccc(C)c(C)c1)\NC(=S)NC,-6.9,-6.3,-6.3,-5.5,-5.7,-5.6,-6.5,-5.9,-5.8,-5.4,-5.5,-5.2,-6.3,-6.0,-5.2,-5.3,-5.5,-6.6,-6.2,-5.0,-6.2,-5.3,-5.3,-6.4,-6.0,-5.9,-6.0,-5.1,-5.9,-6.3,-6.4,-5.8,-5.8,-7.1,-5.0,-6.3,-6.2,-6.0,-5.2,-5.7,-5.7
C(=O)(N[C@H](C(=O)COc1c(F)c(F)cc(F)c1F)CC(=O)O)[C@@H](NC(=O)C(=O)Nc1ccccc1Cl)C(C)C,-8.6,-7.5,-6.1,-5.9,-6.8,-5.4,-7.9,-7.7,-6.7,-6.9,-6.7,-5.9,-7.9,-6.5,-6.3,-6.1,-6.2,-7.8,-8.1,-6.0,-8.0,-6.3,-6.4,-6.2,-7.7,-7.3,-7.9,-6.3,-7.2,-8.0,-7.3,-6.6,-7.7,-8.3,-5.9,-7.6,-7.6,-7.4,-6.2,-7.6,-7.2
O=C1N(CCN1c1ccncc1)CCN1CCCCCC1,-6.6,-6.3,-6.0,-5.2,-5.7,-5.9,-6.2,-5.4,-5.7,-5.5,-5.8,-5.6,-6.3,-6.0,-5.4,-5.6,-5.9,-6.5,-6.5,-4.6,-7.0,-5.5,-5.4,-6.3,-5.7,-6.3,-6.5,-5.2,-5.8,-6.9,-6.3,-5.4,-6.2,-7.5,-5.0,-6.7,-6.4,-6.0,-5.5,-5.9,-5.9
CC1(C)C=Cc2c(ccc3c2O[C@@H](CC3=O)c2ccccc2)O1,-9.0,-8.1,-7.7,-6.3,-7.5,-6.5,-8.5,-7.5,-7.1,-6.9,-7.3,-7.4,-8.2,-7.1,-6.4,-7.0,-7.6,-9.9,-8.4,-5.9,-9.1,-6.9,-7.2,-7.5,-7.8,-7.3,-8.6,-6.6,-7.8,-8.5,-7.9,-7.1,-7.8,-9.9,-6.5,-7.9,-8.0,-7.4,-6.7,-7.6,-8.0
O=C1ON=C2[C@H]3C[C@H]4C[C@@]12C[C@]1(C3)C(=O)ON=C41,-7.3,-7.4,-7.3,-5.4,-5.5,-6.3,-6.2,-6.1,-5.2,-5.5,-6.2,-5.5,-5.8,-6.0,-5.2,-5.7,-5.7,-7.3,-7.3,-4.9,-7.1,-5.3,-5.6,-4.9,-5.5,-5.9,-6.4,-5.6,-6.1,-7.2,-6.6,-5.5,-6.1,-7.0,-5.4,-6.5,-6.8,-6.0,-6.2,-6.9,-6.5
[C@@H]1(CC[C@@H](CC1)NC(=O)OC(C)(C)C)N(C)C(=O)c1cccn1C,-6.6,-6.3,-5.9,-5.7,-5.7,-6.1,-6.4,-5.9,-5.6,-5.6,-6.1,-5.9,-6.0,-5.8,-5.5,-5.6,-5.7,-7.4,-6.8,-4.8,-7.0,-5.4,-5.4,-5.8,-5.6,-5.9,-6.8,-5.3,-6.0,-6.8,-5.9,-5.2,-6.4,-7.4,-5.3,-6.5,-6.1,-5.9,-5.6,-6.6,-6.1
[C@@H](O)(Cn1c2ccccc2c2ccccc12)CN(S(=O)(=O)c1ccc(F)cc1)CC,-8.4,-7.6,-6.5,-5.7,-7.1,-5.4,-7.5,-6.8,-7.0,-6.0,-6.0,-6.5,-7.4,-7.7,-5.6,-7.4,-6.7,-8.6,-8.7,-5.3,-7.7,-5.9,-5.7,-5.7,-7.2,-7.9,-8.6,-6.4,-7.4,-6.8,-7.2,-7.0,-6.9,-8.1,-5.5,-7.6,-7.0,-6.4,-5.2,-7.1,-7.8
CN(C)c1nc2cc(Cl)c(Cl)cc2n1COC(CO)CO,-6.5,-6.5,-5.6,-5.3,-5.5,-5.1,-6.5,-5.7,-5.1,-5.6,-5.3,-5.5,-5.6,-5.7,-5.0,-5.2,-5.3,-6.4,-6.8,-4.7,-6.6,-5.6,-5.1,-5.9,-5.6,-5.2,-6.5,-5.1,-5.7,-6.1,-6.1,-5.1,-5.7,-6.7,-5.2,-6.2,-6.2,-5.6,-5.0,-5.9,-6.3
C[C@H]1CC(C)(C)Nc2ccc(cc12)N=O,-6.9,-5.9,-6.2,-5.3,-5.5,-5.2,-6.7,-5.5,-5.3,-4.9,-5.3,-5.3,-5.9,-5.8,-4.7,-5.0,-5.5,-6.5,-6.4,-4.6,-6.4,-4.9,-5.1,-5.8,-5.7,-5.5,-6.2,-4.9,-5.4,-6.0,-6.0,-5.2,-5.4,-7.1,-4.7,-6.0,-5.8,-5.5,-5.3,-6.2,-5.8
N(C1=NC(=O)[C@](C)(S1)C(C)(C)O)[C@H](C)c1ccc(Cl)cc1,-7.9,-6.8,-6.4,-5.4,-5.7,-5.8,-7.5,-6.2,-5.8,-5.8,-6.5,-5.6,-6.2,-5.8,-5.7,-5.8,-6.2,-7.7,-7.0,-4.9,-7.3,-5.6,-5.8,-6.6,-6.1,-6.1,-6.8,-5.7,-6.4,-6.9,-6.5,-6.4,-6.3,-7.7,-5.6,-7.0,-5.8,-6.2,-5.9,-6.3,-6.5
N(C(=O)c1cc([nH]n1)c1ccc(C)c(C)c1)NCc1ccc(cc1O)N(CC)CC,-7.8,-7.5,-6.5,-6.5,-7.3,-7.5,-7.8,-7.3,-7.8,-7.4,-7.5,-7.0,-7.6,-7.7,-6.5,-6.4,-7.0,-9.1,-8.5,-6.5,-8.7,-7.2,-6.8,-6.4,-8.0,-7.8,-7.8,-6.7,-7.0,-7.6,-7.5,-7.7,-6.9,-9.2,-6.6,-8.1,-7.7,-8.3,-6.8,-7.1,-7.5
[P@@]1(=O)(OC[C@@H]2COC(=O)C2=C(C)O1)OC,-5.8,-5.5,-5.1,-4.6,-4.9,-5.0,-5.0,-5.0,-5.1,-4.6,-5.2,-4.5,-5.3,-4.8,-4.4,-4.6,-4.8,-5.6,-5.9,-4.0,-6.0,-4.7,-4.4,-6.2,-4.9,-4.8,-5.5,-4.4,-4.8,-5.7,-5.4,-5.1,-4.9,-6.0,-4.3,-5.6,-5.2,-4.8,-4.7,-5.4,-5.2
O=S1(=O)c2ccccc2[C@@H](CN1CCO)O,-6.4,-6.2,-5.8,-5.6,-5.1,-5.1,-6.1,-5.1,-4.6,-5.4,-5.4,-5.2,-5.3,-5.3,-4.5,-4.8,-4.9,-6.0,-6.1,-4.6,-5.8,-4.8,-5.0,-5.8,-5.2,-5.5,-5.7,-5.0,-5.3,-6.3,-6.2,-5.0,-5.7,-6.4,-4.6,-5.6,-5.1,-5.2,-5.3,-5.7,-6.0
n1(nncc1c1ccccn1)c1ccc(C)cc1,-7.1,-7.0,-6.5,-5.5,-5.7,-5.5,-6.6,-6.1,-5.7,-5.2,-5.9,-5.7,-6.2,-6.0,-5.4,-5.7,-5.9,-7.4,-7.0,-5.0,-7.7,-5.5,-6.1,-6.0,-6.5,-5.9,-6.6,-5.6,-6.2,-6.6,-6.2,-5.7,-6.3,-7.6,-5.1,-6.4,-6.3,-5.9,-5.6,-6.1,-6.5
c1(ccc2c(c1)/C(=N\O)/C[C@@H]1[C@](C)(CCC[C@]21C)C(=O)N[C@H](C(=O)Nc1ccccc1)Cc1ccccc1)C(C)C,-9.7,-9.8,-8.1,-7.8,-7.1,-6.0,-8.2,-8.5,-8.1,-7.8,-9.0,-7.8,-7.9,-8.4,-7.4,-8.2,-7.9,-10.0,-10.0,-5.7,-10.7,-6.8,-8.2,-6.2,-8.0,-8.3,-9.3,-7.2,-9.5,-9.5,-9.1,-7.6,-9.4,-10.5,-7.2,-7.8,-8.0,-7.4,-7.8,-7.8,-9.0
C[C@@H]1C[C@H](C)CN(C(=O)c2cc3c(s2)CCC3)C1,-7.1,-6.7,-5.7,-5.3,-6.2,-5.7,-7.2,-6.1,-5.7,-5.8,-5.7,-5.8,-6.3,-6.1,-5.5,-5.9,-6.1,-7.9,-6.9,-4.7,-7.3,-5.3,-5.4,-6.5,-5.7,-6.5,-6.6,-5.3,-6.1,-6.7,-6.1,-5.6,-6.3,-7.5,-5.2,-6.6,-6.1,-6.2,-5.5,-6.3,-6.1
O=C(Nc1nc2ncn(c2c(=O)[nH]1)CCI)c1ccccc1,-7.6,-6.7,-5.7,-6.1,-6.2,-7.1,-7.2,-6.7,-5.9,-6.5,-6.7,-6.4,-6.9,-6.8,-6.2,-6.0,-6.4,-8.0,-7.6,-5.2,-7.7,-6.1,-6.2,-6.5,-6.5,-7.1,-7.4,-5.8,-6.7,-7.2,-6.4,-5.9,-6.4,-8.3,-5.9,-7.1,-6.6,-7.9,-6.5,-6.7,-7.3
C(=O)(N1CCN(CC1)c1cnccn1)c1c(n(nc1)C(C)(C)C)CC,-7.0,-6.4,-6.1,-5.5,-5.6,-5.8,-6.2,-5.8,-6.3,-6.1,-6.3,-5.6,-6.3,-5.7,-5.4,-5.8,-5.8,-6.9,-6.9,-4.6,-7.4,-5.8,-5.8,-5.7,-5.7,-6.0,-6.8,-5.4,-6.4,-7.3,-6.7,-5.7,-6.5,-7.3,-5.7,-6.7,-5.9,-5.7,-5.9,-6.2,-6.6
[C@@H]1(CCN(c2nc(C)c3cc(ccc3n2)NC(=O)/C=C\c2ccc(cc2)OC(F)(F)F)CC1)N(C(=O)COC)C,-7.9,-7.7,-6.1,-6.8,-6.8,-6.3,-8.2,-7.4,-7.1,-7.1,-7.8,-7.2,-7.0,-7.1,-5.9,-6.8,-7.7,-8.3,-9.5,-5.7,-9.9,-5.9,-7.4,-6.4,-7.4,-8.1,-8.2,-7.0,-7.6,-8.5,-7.6,-6.9,-7.4,-10.0,-7.0,-7.2,-8.1,-7.7,-7.2,-7.2,-7.5
N1(CCN(C=C1)c1ccc(Cl)c(Cl)c1)Cc1c(nc2cc(C)nc(n12)C)C,-8.1,-7.6,-6.4,-6.4,-7.8,-7.0,-7.7,-7.2,-6.7,-6.7,-7.4,-6.8,-7.3,-7.0,-6.7,-6.9,-6.8,-8.7,-7.8,-5.4,-8.4,-6.4,-6.8,-6.3,-7.0,-7.7,-7.8,-6.3,-7.5,-7.9,-7.7,-6.6,-7.6,-8.8,-6.7,-7.7,-7.2,-7.5,-6.8,-7.3,-8.0
c1(ccc(cc1Cl)c1nc2cc(ccc2[nH]1)C(C)(C)C)OCCCN1CCN(C)CC1,-8.3,-7.4,-6.5,-6.2,-6.7,-6.9,-8.2,-7.0,-6.4,-7.1,-7.2,-7.1,-7.9,-6.6,-6.1,-6.3,-6.7,-8.6,-9.0,-6.0,-8.6,-6.3,-6.5,-6.8,-7.3,-7.3,-7.8,-6.7,-7.3,-8.5,-7.3,-6.8,-6.4,-9.1,-6.4,-7.7,-7.4,-7.6,-6.4,-7.0,-7.4
c1(cc(ccc1OCC(=O)O)C(F)(F)F)c1ccc(cc1)OC,-7.6,-7.2,-6.4,-5.9,-6.0,-5.9,-7.5,-6.3,-6.3,-5.9,-6.1,-5.9,-6.4,-6.7,-5.5,-6.3,-6.5,-7.7,-7.7,-4.9,-7.6,-5.7,-5.8,-6.3,-6.5,-6.3,-6.9,-5.6,-6.4,-6.6,-7.0,-6.3,-6.9,-8.1,-5.2,-7.4,-6.5,-6.4,-5.7,-6.6,-6.6
C(c1c(=O)[nH]c2n(nc(C)c2c1)C)NCc1cccc(c1)C(F)(F)F,-8.5,-7.7,-7.9,-7.1,-7.6,-7.2,-8.7,-7.3,-6.7,-7.1,-7.0,-7.0,-7.9,-7.2,-6.2,-6.7,-7.4,-8.6,-7.7,-6.1,-9.0,-6.8,-6.6,-7.2,-7.2,-7.6,-7.7,-6.4,-6.9,-7.7,-7.1,-6.5,-6.9,-9.2,-5.9,-8.1,-7.1,-7.8,-7.0,-7.7,-7.5
C(c1nc(cn1C)c1cccnc1)Cc1nn2c(ccc(C)c2n1)C,-8.2,-7.6,-7.3,-6.7,-7.2,-6.6,-8.2,-7.0,-6.9,-6.5,-6.8,-6.7,-7.6,-6.6,-6.3,-6.7,-7.1,-8.4,-7.8,-5.5,-8.2,-6.7,-6.4,-6.8,-7.0,-7.4,-7.5,-6.2,-7.1,-7.7,-7.4,-6.8,-7.3,-9.0,-5.9,-7.5,-7.9,-8.4,-6.8,-7.1,-7.3
c1(csc(Nc2cccc(C)c2)n1)c1c(cncc1)CC,-7.8,-7.1,-6.3,-5.7,-6.6,-6.0,-7.4,-6.5,-6.0,-5.6,-6.4,-6.2,-7.3,-6.3,-5.6,-6.2,-6.5,-8.1,-7.3,-4.7,-7.7,-5.8,-6.1,-5.7,-6.8,-6.6,-7.0,-5.6,-6.6,-6.8,-6.6,-5.9,-7.5,-8.4,-5.9,-6.7,-6.5,-6.5,-5.7,-6.6,-6.6
C(=O)(NCCC(=O)N[C@H](C(=O)O)Cc1c[nH]cn1)CCCNC(=O)NS(=O)(=O)c1c(C)cccc1,-7.2,-6.5,-7.0,-6.0,-6.9,-6.2,-7.5,-7.1,-7.1,-7.0,-7.3,-6.2,-7.4,-7.4,-6.1,-6.2,-6.3,-6.9,-7.5,-5.5,-7.4,-6.9,-5.7,-7.1,-7.1,-7.1,-6.7,-5.9,-6.4,-7.1,-7.3,-5.7,-6.5,-7.9,-6.1,-7.6,-7.0,-7.7,-6.8,-6.8,-7.0
C1(=C2[C@H]3NCC[C@]2(C[C@H]([C@@H]1O)O)c1c(ccc(c1O)OC)[C@@H]3O[C@H]1O[C@@H]([C@@H]([C@@H]([C@@H]1O)O)O)CO)OC,-7.7,-7.3,-5.5,-6.4,-6.6,-5.8,-7.3,-6.9,-6.5,-7.0,-6.9,-6.4,-6.8,-6.8,-6.7,-6.2,-6.0,-8.1,-7.3,-6.5,-7.8,-6.3,-6.4,-5.7,-6.6,-6.4,-7.7,-6.3,-7.3,-7.3,-7.2,-6.1,-7.7,-7.5,-7.3,-6.7,-7.5,-6.9,-6.4,-7.6,-7.3
