SMILES,148_KAG,290_KBA,178_KAA,154_KAN,212_KAL,342_KAI,104_KAF,260_KAF,140_KAC,168_KAK,314_KAF,340_KAH,22_KAI,156_KAE,80_KAD,92_KAM,222_KAV,210_KAF,216_KAA,204_KAM,296_KAW,220_KAH,286_KAM,200_KAR,134_KAC,216_KAN,134_KAH,322_KAK,72_KAI,182_KAD,304_KAQ,140_KAD,268_KAL,192_KAO,284_KAJ,310_KAQ,58_KAF,8_KAI,34_KAS,56_KAS,22_KAJ
[C@@H]1(NC(=O)NC(=C1N(=O)=O)C)c1c(ccc2ccccc12)OC,-8.0,-6.7,-7.3,-6.3,-5.9,-6.0,-7.2,-5.8,-5.6,-5.9,-6.1,-5.8,-6.0,-6.2,-5.7,-6.0,-6.3,-7.3,-7.1,-5.0,-7.4,-5.7,-6.3,-5.4,-6.1,-6.4,-6.8,-5.7,-7.1,-7.4,-6.9,-5.8,-6.9,-7.6,-5.7,-6.2,-6.5,-6.4,-5.7,-6.6,-7.4
O=c1c2cc(F)ccc2nc(n1c1ccccc1F)/C=C/c1ccccn1,-8.7,-8.0,-7.1,-6.5,-7.3,-6.4,-8.2,-7.9,-6.9,-6.6,-7.4,-7.2,-7.5,-7.6,-7.2,-7.1,-7.6,-9.1,-8.3,-5.9,-9.3,-6.9,-6.9,-6.9,-7.3,-7.1,-7.9,-6.6,-8.1,-7.9,-7.7,-6.5,-8.5,-9.1,-6.6,-8.0,-8.0,-7.5,-6.5,-8.2,-8.3
O=C(N1CCOCC1)CN1C(=O)CCC1=O,-5.8,-5.4,-4.9,-4.7,-5.0,-4.8,-5.3,-4.8,-4.5,-4.8,-5.1,-4.7,-5.2,-5.1,-4.5,-4.5,-4.6,-5.7,-5.3,-4.0,-5.5,-4.9,-4.3,-5.8,-5.1,-5.3,-5.7,-4.7,-5.0,-5.6,-5.6,-4.5,-5.0,-6.0,-4.5,-5.6,-5.0,-5.4,-4.7,-5.6,-5.4
N(C(=O)CN(C)C(=O)Cc1ccsc1)c1ccc(cc1)OC,-6.6,-6.1,-5.0,-5.2,-6.0,-5.6,-6.1,-5.6,-5.2,-5.2,-5.8,-5.6,-6.2,-5.8,-5.1,-5.0,-5.8,-6.7,-6.6,-4.4,-6.9,-5.7,-5.1,-5.9,-6.0,-5.9,-6.1,-5.1,-5.6,-6.2,-5.8,-5.6,-5.8,-6.9,-4.8,-6.5,-5.8,-6.3,-5.4,-5.9,-5.9
c1(ccc(cc1)C[C@H](C)NC(=O)C1CC1)C#Cc1ccc(nc1)OC,-7.1,-6.8,-6.4,-5.5,-5.9,-6.2,-8.1,-6.0,-6.5,-6.2,-6.2,-6.0,-7.2,-6.3,-5.3,-6.0,-6.2,-7.6,-7.7,-4.9,-7.5,-5.5,-5.8,-6.4,-6.5,-7.1,-7.0,-5.9,-6.5,-6.8,-6.8,-6.6,-6.3,-8.0,-5.3,-6.6,-6.9,-6.7,-5.5,-6.2,-6.2
n1(ccc2ccccc12)c1ccc(nn1)O,-7.0,-6.4,-6.3,-6.3,-6.0,-5.9,-6.6,-5.8,-6.2,-5.7,-5.7,-5.9,-6.4,-5.7,-5.3,-6.1,-5.8,-6.8,-7.3,-5.1,-6.9,-5.5,-5.5,-6.7,-5.9,-5.9,-6.4,-5.1,-5.6,-6.9,-6.6,-6.2,-6.0,-7.3,-4.9,-6.5,-5.8,-6.5,-5.3,-6.2,-6.1
O=C1CCCc2c1c(c1c(occ1n2)O)c1ccc(F)c(Br)c1,-8.2,-7.4,-6.7,-5.9,-6.8,-6.6,-7.2,-6.7,-6.2,-6.3,-6.6,-6.5,-6.7,-7.4,-6.4,-6.6,-6.8,-7.6,-7.9,-5.5,-8.0,-5.7,-6.3,-4.9,-6.9,-7.0,-7.4,-6.1,-7.3,-8.0,-8.1,-6.4,-7.3,-8.1,-6.2,-6.5,-6.8,-6.4,-6.7,-7.2,-7.5
c1(cn(nn1)CC1CCOCC1)c1ccc2[nH]ncc2c1,-7.6,-6.8,-6.5,-6.3,-6.5,-6.7,-7.3,-6.3,-6.4,-6.0,-6.5,-6.1,-6.9,-6.4,-5.9,-5.9,-6.6,-7.8,-7.3,-5.4,-7.9,-5.9,-6.1,-6.7,-6.8,-6.6,-7.0,-5.9,-6.5,-7.4,-6.8,-6.4,-6.6,-8.0,-6.2,-7.3,-7.1,-6.9,-5.9,-6.7,-6.7
N(C(=O)NC(=O)CSc1nc2ccccc2nc1C)c1c(C)ccnc1,-8.0,-7.6,-7.1,-6.6,-6.8,-6.9,-7.6,-7.0,-6.7,-7.0,-7.5,-6.9,-7.7,-6.7,-6.9,-5.9,-6.9,-7.7,-7.9,-5.9,-8.5,-6.5,-6.7,-6.9,-7.2,-7.3,-7.5,-5.8,-7.3,-7.6,-7.9,-7.0,-7.2,-8.6,-6.5,-7.8,-7.3,-8.0,-6.1,-7.0,-7.5
c1(nc2[nH]c(N)nc(c2n1)N)CNc1cc(c(c(c1)OC)OC)OC,-7.5,-6.7,-5.7,-6.0,-6.5,-6.4,-7.1,-6.4,-6.6,-5.9,-6.6,-6.0,-7.4,-6.5,-6.2,-5.8,-6.3,-7.0,-7.0,-5.5,-7.3,-6.1,-6.3,-6.9,-6.4,-6.9,-6.8,-5.9,-6.6,-7.1,-7.0,-6.5,-6.4,-7.5,-6.1,-7.1,-6.5,-6.5,-6.5,-6.6,-6.6
