SMILES,204_KAM,134_KAC,22_KAJ,80_KAD,154_KAN,296_KAW,92_KAM,140_KAC,260_KAF,192_KAO,220_KAH,310_KAQ,104_KAF,268_KAL,304_KAQ,342_KAI,290_KBA,322_KAK,210_KAF,34_KAS,178_KAA,56_KAS,58_KAF,72_KAI,8_KAI,200_KAR,134_KAH,212_KAL,286_KAM,182_KAD,216_KAN,284_KAJ,148_KAG,340_KAH,314_KAF,222_KAV,140_KAD,168_KAK,22_KAI,156_KAE,216_KAA
N(c1ccc(F)cc1)NC(C#N)C#N,-4.6,-5.0,-4.8,-4.8,-4.8,-5.1,-4.3,-4.6,-4.8,-5.7,-4.5,-5.3,-5.4,-4.6,-5.3,-5.4,-5.1,-4.5,-5.3,-4.8,-5.5,-4.9,-5.4,-4.4,-5.6,-5.5,-5.1,-5.0,-4.2,-5.4,-4.8,-4.1,-5.6,-4.6,-4.7,-4.6,-5.4,-4.8,-5.5,-4.9,-5.1
[C@H]1(CC[C@@H]([C@@H](O1)CO)NC(=O)CN(C)C)CC(=O)OC,-4.1,-5.0,-5.6,-4.7,-5.0,-5.8,-4.5,-4.7,-4.8,-5.8,-4.4,-5.8,-5.5,-4.9,-5.0,-5.3,-5.6,-4.6,-5.6,-5.3,-4.9,-5.2,-5.3,-4.8,-5.0,-5.9,-5.5,-5.0,-4.4,-5.5,-5.2,-4.7,-5.8,-4.7,-5.2,-4.9,-4.6,-4.9,-5.2,-5.5,-5.9
O=C1c2ccc(cc2O[C@@H]([C@@H]1O)c1ccc(c(c1)O)O)O,-5.3,-6.4,-6.9,-6.1,-6.6,-7.4,-6.4,-5.9,-6.2,-7.9,-6.0,-7.3,-7.4,-7.0,-6.9,-6.2,-7.1,-6.0,-7.7,-6.1,-6.6,-7.5,-6.9,-6.5,-6.3,-5.6,-6.9,-6.4,-6.3,-7.9,-7.1,-6.1,-7.6,-6.1,-6.6,-6.4,-6.0,-6.6,-6.5,-6.5,-7.4
O=C(N/N=C/c1ccc2c(c1)OCO2)c1nc(no1)c1ccccc1,-5.6,-7.0,-7.5,-6.1,-6.2,-8.4,-6.6,-7.0,-6.8,-9.1,-6.8,-7.8,-7.9,-6.7,-7.1,-7.0,-6.9,-6.3,-8.1,-6.7,-6.4,-6.8,-7.3,-7.0,-8.0,-6.8,-7.7,-6.9,-6.4,-7.4,-7.3,-6.2,-7.9,-6.9,-7.3,-6.5,-7.1,-7.2,-7.5,-7.3,-8.0
c1(cc2c3c(c1)Cc1ccccc1C[C@H]3NCC2)OC,-5.6,-6.8,-7.2,-5.9,-6.5,-8.3,-6.7,-6.4,-6.7,-9.5,-5.6,-7.3,-8.0,-7.2,-7.3,-5.9,-7.7,-6.2,-8.1,-6.9,-7.4,-7.2,-7.2,-7.7,-6.7,-6.7,-7.8,-6.6,-6.3,-7.6,-7.0,-5.8,-8.3,-6.8,-6.3,-7.1,-6.5,-6.3,-7.3,-7.2,-7.6
c1(nc(c([nH]1)c1ccccc1Cl)c1ccccc1Cl)SC[C@H]1OC(=O)C=C(C)C1,-6.5,-7.3,-7.9,-7.1,-6.5,-9.0,-7.2,-7.0,-7.6,-9.7,-6.3,-8.3,-8.2,-8.3,-7.5,-7.2,-7.8,-6.7,-8.4,-6.8,-7.2,-7.7,-7.8,-7.6,-7.5,-7.4,-8.1,-6.4,-6.8,-8.4,-8.4,-7.0,-9.5,-7.3,-7.4,-7.3,-6.9,-7.0,-8.2,-7.6,-8.8
c1(c(ncc2ccccc12)c1ccccc1)COC(=O)N(C)C,-5.2,-6.2,-6.8,-6.0,-5.9,-7.7,-6.5,-5.9,-6.4,-8.1,-5.7,-7.0,-7.4,-6.9,-6.7,-5.5,-7.5,-5.8,-7.4,-5.8,-6.4,-7.0,-6.6,-6.9,-6.4,-6.9,-7.4,-5.9,-6.1,-7.4,-6.3,-5.5,-8.0,-6.2,-6.5,-6.2,-6.0,-5.8,-6.7,-6.3,-7.6
[C@@H]1(CCCC(=O)N1Cc1ccc(cc1)OC(F)(F)F)c1c(cccc1OC)OCC,-5.1,-6.2,-6.3,-5.8,-6.3,-7.8,-6.2,-5.8,-6.5,-8.8,-5.9,-6.3,-6.9,-6.8,-7.4,-5.6,-6.9,-5.7,-7.2,-5.7,-6.3,-6.7,-6.3,-6.8,-6.5,-5.0,-6.8,-6.2,-6.1,-7.2,-6.7,-5.8,-7.6,-6.0,-6.9,-5.9,-5.8,-6.3,-6.1,-7.0,-7.5
C(=O)(c1cccc(C)c1O)OCC(=O)N1CCCC1=O,-4.6,-6.7,-6.3,-5.5,-5.9,-7.3,-5.6,-5.8,-5.6,-7.6,-5.7,-6.8,-6.9,-6.5,-6.5,-6.5,-6.6,-5.7,-6.7,-5.9,-6.5,-6.5,-6.1,-5.8,-5.5,-6.6,-6.5,-6.0,-5.4,-6.1,-6.4,-4.9,-6.9,-5.4,-5.6,-5.9,-5.8,-5.7,-6.0,-6.5,-7.0
C(=O)(Nc1nc(cs1)c1ccccn1)c1ccc(cc1)CCCC,-5.3,-6.8,-7.1,-5.9,-6.0,-8.0,-6.2,-6.3,-6.7,-8.6,-5.7,-7.1,-7.4,-6.8,-6.9,-6.9,-6.8,-5.9,-7.7,-6.3,-6.2,-6.6,-6.5,-6.8,-7.4,-6.4,-7.3,-6.0,-6.2,-7.3,-6.9,-5.9,-7.7,-6.7,-6.5,-6.5,-6.4,-6.4,-6.9,-6.5,-8.0
