SMILES,204_KAM,134_KAC,22_KAJ,80_KAD,154_KAN,296_KAW,92_KAM,140_KAC,260_KAF,192_KAO,220_KAH,310_KAQ,104_KAF,268_KAL,304_KAQ,342_KAI,290_KBA,322_KAK,210_KAF,34_KAS,178_KAA,56_KAS,58_KAF,72_KAI,8_KAI,200_KAR,134_KAH,212_KAL,286_KAM,182_KAD,216_KAN,284_KAJ,148_KAG,340_KAH,314_KAF,222_KAV,140_KAD,168_KAK,22_KAI,156_KAE,216_KAA
C[C@]12CC[C@@H]3[C@](CC[C@H]4[C@](C)(CC=C[C@@]34C)C(=O)NCc3ccccc3)(CC1=O)C2,-5.8,-7.6,-8.2,-6.9,-6.7,-10.2,-7.9,-7.6,-8.2,-10.3,-6.9,-7.2,-9.1,-8.7,-8.7,-6.9,-9.2,-7.1,-10.2,-7.4,-8.0,-7.9,-8.2,-8.8,-8.2,-6.2,-8.4,-7.7,-7.6,-8.5,-8.1,-7.1,-9.3,-7.1,-7.9,-8.0,-7.3,-7.7,-7.9,-7.5,-8.9
c1(cc(cc(n1)c1ccc(Cl)cc1)c1ccccc1)c1c(cccc1)O,-6.5,-8.5,-8.5,-6.9,-7.1,-9.6,-7.4,-7.3,-8.0,-9.4,-7.0,-8.8,-9.3,-8.8,-8.0,-6.2,-8.7,-7.4,-10.3,-7.0,-7.0,-7.7,-7.9,-8.3,-8.3,-7.7,-9.1,-7.1,-7.1,-7.7,-8.3,-6.5,-9.0,-7.9,-7.2,-8.3,-7.2,-7.6,-8.1,-7.3,-8.7
c1(c([nH]c2ccccc12)c1ccc(Cl)cc1)C(=O)C(=O)N(CC)Cc1ccccc1,-6.3,-7.2,-7.8,-6.6,-6.1,-8.5,-7.0,-7.2,-6.7,-9.2,-6.0,-8.1,-8.1,-7.6,-7.4,-6.6,-8.2,-6.5,-8.2,-6.8,-6.9,-7.8,-7.2,-7.3,-7.3,-6.5,-8.4,-6.3,-6.6,-8.3,-7.4,-6.0,-7.9,-7.3,-7.2,-7.1,-6.2,-6.9,-6.4,-7.8,-8.3
[C@@H]1([C@@]2(C=C[C@@H]3[C@@](C)([C@H](CC[C@]13C)O)CO)CO2)C/C=C\1/[C@@H](COC1=O)OC(=O)C,-5.0,-6.0,-6.9,-6.5,-5.8,-8.0,-6.4,-6.2,-6.9,-7.9,-5.8,-6.4,-7.1,-7.1,-6.9,-5.2,-7.0,-5.7,-7.6,-6.5,-6.7,-7.0,-6.7,-6.7,-6.9,-5.3,-7.4,-6.2,-6.2,-8.0,-6.9,-6.3,-8.0,-5.7,-6.8,-6.3,-5.5,-6.2,-6.7,-6.8,-7.7
c1(c(nc2sc(c(c2c1c1ccccc1)N)C(=O)c1ccc(F)cc1)N)CN,-5.3,-6.9,-7.6,-6.4,-6.2,-8.3,-6.7,-6.4,-7.1,-9.3,-6.0,-6.8,-8.4,-7.4,-7.9,-6.7,-8.0,-6.1,-8.6,-6.3,-6.3,-7.1,-7.5,-7.3,-7.1,-6.9,-7.5,-6.4,-6.6,-7.9,-6.9,-6.8,-8.6,-6.9,-7.1,-7.2,-6.5,-6.5,-7.2,-7.0,-8.0
O=C1NCc2c1c1c3ccccc3[nH]c1c1c2c2ccccc2n1C[C@H](O)CO,-6.3,-7.4,-8.4,-6.9,-6.9,-8.8,-6.9,-7.4,-7.9,-8.9,-7.1,-6.6,-8.3,-7.8,-8.8,-6.4,-8.5,-6.7,-9.9,-6.8,-8.1,-7.9,-8.5,-8.6,-7.3,-7.7,-8.6,-6.9,-6.8,-8.8,-7.5,-7.2,-9.6,-7.8,-7.4,-7.6,-6.9,-7.4,-8.5,-7.6,-8.4
O=C(Nc1nc2ncn(c2c(=O)[nH]1)CCI)c1ccccc1,-5.2,-6.5,-7.3,-6.2,-6.1,-7.7,-6.0,-5.9,-6.7,-8.3,-6.1,-7.1,-7.2,-6.4,-6.4,-7.1,-6.7,-5.8,-8.0,-6.5,-5.7,-6.7,-6.6,-6.7,-7.9,-6.5,-7.4,-6.2,-6.2,-7.2,-7.1,-5.9,-7.6,-6.4,-6.7,-6.4,-5.9,-6.5,-6.9,-6.8,-7.6
[C@H]1(CCCN(C(=O)c2ccncc2F)C1)c1n(C)ccn1,-4.8,-5.9,-6.2,-5.7,-5.4,-7.3,-5.7,-5.5,-5.9,-8.1,-5.8,-6.3,-6.6,-6.4,-6.1,-5.9,-6.9,-5.4,-7.6,-5.8,-5.8,-6.2,-6.6,-5.9,-5.9,-6.6,-7.0,-5.9,-5.7,-6.4,-6.1,-5.5,-7.2,-6.0,-6.2,-6.1,-5.5,-5.5,-6.3,-6.5,-6.7
C(=O)(Nc1ccc(cn1)c1ccc(cc1)OC1CCN(C)CC1)c1cc(c(cc1)OC)c1cccc(c1)OC,-5.5,-7.7,-7.7,-6.0,-6.6,-10.6,-6.7,-8.0,-7.7,-10.7,-7.2,-7.7,-7.8,-7.9,-7.8,-7.0,-7.9,-8.0,-9.1,-7.4,-5.9,-6.9,-7.5,-8.4,-7.9,-6.8,-8.2,-7.3,-7.4,-9.3,-7.5,-7.1,-8.1,-7.7,-8.0,-7.7,-6.4,-8.6,-7.3,-6.5,-8.8
[C@H]1(CCN(c2ncc(cc2c2ccc(C)nc2)C(=O)Nc2ccc(cc2)OC(F)(F)F)C1)NC,-5.2,-7.0,-8.4,-6.4,-6.5,-8.7,-6.9,-7.3,-7.2,-9.5,-6.1,-7.7,-7.5,-7.4,-7.4,-7.1,-7.9,-6.8,-8.9,-6.9,-6.6,-7.0,-7.0,-7.5,-7.1,-6.9,-8.1,-6.4,-6.6,-8.3,-7.1,-6.9,-8.5,-6.9,-7.9,-7.2,-6.0,-7.0,-7.2,-7.1,-9.1
c1(cc2c(cc1OC)/C(=N/Nc1ccc(cc1)C(C)C)/C(=O)N2)OC,-5.4,-7.3,-7.5,-6.0,-6.4,-8.5,-6.3,-6.8,-6.9,-8.3,-6.6,-7.9,-8.1,-7.1,-7.2,-7.8,-7.4,-6.0,-8.1,-6.4,-6.5,-6.7,-7.3,-7.0,-7.6,-7.1,-7.5,-7.3,-6.4,-6.9,-7.3,-6.1,-8.0,-6.8,-7.1,-7.1,-6.8,-6.7,-7.9,-6.5,-7.8
NC1=N[C@@H](Nc2ccccc12)C1CC1,-5.3,-6.7,-5.9,-5.2,-5.3,-6.7,-5.4,-5.6,-5.4,-7.3,-5.3,-6.1,-6.5,-6.0,-6.2,-5.8,-6.2,-5.1,-6.2,-5.4,-6.5,-6.1,-5.9,-5.5,-5.9,-6.3,-6.3,-5.5,-5.0,-6.3,-5.7,-4.6,-6.5,-5.1,-5.2,-5.5,-5.5,-5.6,-6.5,-5.7,-6.3
C(N1[C@H]([C@H]([C@@H]([C@H](C1)O)O)O)CO)c1cn(nn1)C[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2,-5.4,-6.5,-7.4,-6.5,-6.0,-7.9,-6.1,-6.7,-6.5,-7.8,-6.0,-7.9,-7.0,-7.4,-7.3,-6.5,-7.7,-6.8,-7.7,-6.7,-6.1,-7.2,-8.0,-7.0,-6.6,-6.9,-7.1,-6.5,-6.8,-7.5,-6.6,-6.4,-8.1,-6.2,-7.6,-6.5,-6.6,-6.8,-6.7,-7.0,-7.7
O=C(N1CCOCC1)N1CCCc2ccccc12,-5.0,-6.2,-6.5,-5.4,-5.8,-7.1,-5.8,-5.6,-6.1,-8.2,-5.7,-6.9,-7.2,-6.5,-6.5,-5.1,-7.2,-5.4,-7.1,-6.1,-6.4,-6.3,-6.2,-6.5,-6.2,-6.9,-6.8,-6.4,-5.7,-7.2,-6.4,-5.4,-8.0,-5.9,-6.2,-6.1,-5.8,-5.6,-6.4,-6.0,-7.2
c1(cc2c(cc1F)c(=O)c1c(=O)[nH]sc1n2C1CC1)c1ccc(C)cn1,-6.0,-7.2,-8.1,-6.5,-6.5,-8.7,-6.8,-6.8,-7.4,-10.0,-6.8,-7.3,-8.2,-7.5,-8.4,-7.5,-8.2,-6.8,-9.4,-7.0,-7.2,-7.9,-7.9,-8.0,-7.2,-7.8,-8.5,-8.5,-7.2,-8.0,-7.2,-7.2,-8.9,-7.3,-7.8,-7.3,-6.9,-6.8,-8.0,-7.4,-8.3
[C@H]1(CCN(CC1)CCCCNC(=O)c1ccc2ccccc2c1)N(C(=O)CC)c1ccccc1OC,-4.8,-7.7,-7.9,-6.2,-5.6,-7.9,-6.2,-6.8,-7.7,-9.1,-7.1,-8.0,-9.0,-8.1,-7.1,-6.7,-7.5,-7.1,-9.1,-6.3,-7.6,-7.4,-6.7,-7.3,-7.3,-6.2,-7.0,-6.3,-5.6,-8.2,-6.8,-5.9,-8.4,-7.1,-6.1,-7.7,-6.0,-6.0,-7.8,-6.7,-8.5
c1(cccc(n1)c1cnc2[nH]cc(C)c2c1)/N=C(/C#CCC)\O,-5.4,-7.0,-7.1,-6.1,-6.1,-8.1,-6.6,-6.9,-6.7,-8.6,-6.4,-7.4,-7.8,-6.8,-6.8,-6.6,-7.3,-6.2,-8.3,-6.0,-7.1,-7.0,-7.1,-6.7,-7.8,-7.0,-7.5,-6.6,-6.1,-7.6,-7.0,-6.0,-7.7,-6.5,-6.7,-7.1,-6.7,-6.3,-7.3,-6.9,-7.2
N(C(=O)c1cc(cn1C)NC(=O)c1cc(cn1C)N)c1cn(C)c(c1)C(=O)NCCC(=O)N,-6.0,-6.6,-6.8,-6.3,-6.7,-8.2,-6.1,-7.5,-7.3,-8.5,-6.7,-7.9,-7.0,-6.7,-7.8,-6.5,-7.1,-6.2,-7.5,-6.7,-6.0,-7.5,-8.3,-6.8,-6.9,-6.6,-7.7,-6.4,-6.4,-8.0,-7.7,-7.0,-7.6,-6.4,-7.0,-6.1,-6.5,-6.7,-7.3,-6.2,-8.3
c1(ccc(cc1)Oc1ncccc1c1cccnc1)C(=O)c1nc2ccccc2[nH]1,-6.1,-8.0,-8.6,-7.2,-7.4,-9.3,-7.4,-7.5,-7.9,-10.1,-7.6,-8.5,-8.6,-7.9,-7.9,-7.6,-8.2,-7.3,-9.5,-7.0,-7.5,-8.1,-8.5,-8.1,-8.0,-7.2,-8.5,-7.3,-7.4,-8.3,-8.3,-7.2,-9.3,-7.9,-7.7,-7.6,-7.8,-7.3,-8.9,-8.1,-9.5
[C@@H]1(CCCN1C(=O)c1cccc(c1)CCC(C)(C)O)C(=O)NCC,-5.5,-6.6,-6.9,-6.1,-6.0,-8.0,-6.2,-6.4,-6.9,-7.7,-6.6,-7.3,-7.6,-6.7,-6.8,-6.5,-6.8,-6.2,-7.7,-5.8,-6.2,-6.7,-7.0,-7.0,-6.7,-6.7,-7.2,-6.8,-6.5,-7.5,-6.9,-5.6,-7.8,-6.0,-6.4,-6.2,-6.4,-6.1,-6.9,-6.4,-7.2
N(S(=O)(=O)c1c(cc(C)cc1C)C)CCn1c(C)cc2ccccc12,-4.8,-5.3,-7.5,-5.6,-5.5,-7.4,-5.4,-5.1,-5.6,-8.9,-5.2,-7.7,-6.4,-6.1,-5.8,-5.0,-6.4,-4.8,-8.1,-5.4,-6.5,-6.9,-7.3,-6.4,-6.3,-6.4,-7.3,-5.4,-5.6,-7.1,-5.8,-5.3,-8.2,-5.9,-6.0,-6.3,-5.4,-5.3,-7.7,-7.5,-7.5
[C@H]1(OC(=O)C2=C1Cc1n(C2=O)cc2cc3ccccc3nc12)CC,-5.8,-7.2,-8.0,-6.4,-6.4,-9.0,-6.7,-7.3,-7.8,-9.9,-7.2,-7.8,-8.0,-7.4,-7.5,-7.0,-7.8,-6.5,-9.8,-6.6,-7.2,-7.5,-8.0,-7.8,-7.6,-8.4,-8.3,-7.7,-6.8,-7.8,-7.5,-6.7,-8.7,-7.3,-7.7,-7.7,-6.6,-6.7,-8.5,-7.1,-8.5
O=C(NC(=S)Nc1ccc(cc1)N1CCOCC1)/C=C\c1ccc(cc1)S(=O)(=O)N1CCOCC1,-5.6,-8.1,-6.7,-6.0,-6.3,-9.6,-6.2,-7.8,-7.4,-9.4,-6.2,-8.0,-8.4,-7.7,-7.5,-6.8,-7.5,-6.3,-8.0,-6.9,-7.0,-7.5,-8.0,-7.8,-8.1,-6.8,-8.3,-6.4,-7.3,-7.5,-6.9,-6.3,-8.2,-6.9,-7.9,-6.6,-6.1,-6.3,-9.1,-6.7,-8.8
c1(cc(cc(c1C)C(=O)NCc1c(C)cc(C)[nH]c1=O)c1ccc(nc1)N1CCNCC1)N([C@H]1CC[C@@H](CC1)N(C)C)CC,-6.1,-8.5,-9.0,-7.6,-7.6,-9.9,-7.5,-8.1,-8.3,-10.1,-7.5,-9.2,-9.0,-8.8,-9.6,-6.9,-9.2,-7.9,-10.3,-7.3,-7.7,-8.2,-8.2,-8.7,-8.8,-7.0,-9.1,-8.0,-8.1,-9.0,-8.8,-7.9,-10.1,-7.9,-8.2,-7.7,-7.9,-8.1,-9.7,-7.2,-9.8
[C@@H]1(CCC2=C3[C@H]([C@@H]4O[C@]54C[C@@H](CC[C@]5(C)[C@@H]3CC[C@]12C)O)O)[C@H](C)CC[C@H](C(C)C)CC,-5.5,-6.4,-7.5,-6.2,-6.5,-8.7,-7.2,-6.2,-7.2,-9.0,-5.2,-7.7,-9.3,-7.1,-7.3,-5.4,-7.6,-6.3,-8.8,-6.9,-6.5,-7.0,-7.9,-7.6,-7.3,-5.4,-7.1,-7.3,-7.0,-8.0,-7.4,-6.2,-8.8,-6.5,-6.9,-7.1,-6.6,-7.3,-7.4,-7.5,-8.2
C(c1c(=O)[nH]c2n(nc(C)c2c1)C)NCc1cccc(c1)C(F)(F)F,-6.1,-7.2,-7.5,-6.2,-7.1,-9.0,-6.7,-6.7,-7.3,-9.2,-6.8,-8.1,-8.7,-6.9,-7.1,-7.2,-7.7,-6.4,-8.6,-7.0,-7.9,-7.7,-7.1,-6.9,-7.8,-7.2,-7.7,-7.6,-6.6,-7.7,-7.6,-5.9,-8.5,-7.0,-7.0,-7.4,-6.5,-7.1,-7.9,-7.2,-7.7
c1(ccc(cc1)CN1C(=O)CCn2nc(C)cc12)C(=O)Nc1ccc(cc1)C(=O)OCC,-5.6,-6.9,-7.1,-6.8,-6.4,-8.8,-6.2,-7.4,-7.1,-8.9,-6.3,-7.9,-8.1,-7.1,-7.0,-6.8,-7.5,-6.4,-8.5,-6.5,-6.7,-6.9,-8.1,-7.6,-7.3,-6.3,-8.1,-6.4,-6.8,-8.3,-7.6,-6.5,-7.7,-6.9,-7.2,-7.0,-6.8,-7.3,-7.2,-7.3,-8.6
N(c1cccc(c1)S(=O)(=O)N1CCOCC1)CC(=O)Nc1cc(cc(c1)OC)OC,-5.4,-6.8,-7.0,-6.6,-6.2,-7.9,-6.2,-6.4,-6.5,-8.4,-6.4,-7.6,-7.3,-7.1,-7.0,-6.6,-7.0,-5.9,-7.5,-6.2,-6.3,-7.0,-7.0,-7.2,-7.5,-6.4,-7.5,-6.7,-6.2,-7.6,-7.2,-5.9,-7.7,-5.9,-6.8,-6.4,-6.8,-6.3,-7.2,-6.7,-7.7
C(=O)(NNC(=O)[C@H](C)Oc1ccccc1F)c1ccc(C)c(c1)S(=O)(=O)N1CCOCC1,-6.5,-7.8,-7.9,-6.5,-7.7,-8.8,-6.7,-7.4,-7.4,-9.5,-7.3,-8.2,-9.3,-7.5,-7.3,-7.9,-8.0,-6.7,-8.6,-6.8,-7.1,-8.0,-7.8,-7.7,-8.0,-7.1,-8.0,-7.7,-6.7,-8.2,-7.9,-6.9,-8.2,-7.5,-7.8,-7.5,-7.5,-7.6,-8.3,-7.7,-8.5
c1(c(nc(n2ccnc12)c1ccccc1)NC)C(=O)OCC,-4.9,-5.7,-6.1,-5.3,-5.5,-7.4,-5.7,-5.6,-6.3,-7.4,-5.4,-6.4,-6.7,-6.2,-6.8,-5.6,-6.6,-5.5,-6.9,-5.5,-5.7,-6.2,-6.3,-6.5,-6.7,-6.3,-6.9,-5.9,-5.4,-6.3,-5.7,-5.3,-7.4,-5.8,-5.7,-6.0,-5.3,-5.7,-6.4,-6.0,-6.9
c1(ccc2c(c1)N(C(=O)C(C)(C)O2)CC(=O)N1CCOCC1)C(=O)NC(C)C,-5.7,-6.8,-7.2,-6.6,-6.2,-7.8,-6.1,-6.6,-7.2,-8.1,-6.4,-7.1,-7.9,-7.0,-6.9,-6.8,-7.9,-6.5,-8.0,-6.8,-6.6,-7.5,-6.9,-7.4,-7.0,-6.3,-7.5,-6.4,-6.4,-7.3,-7.0,-6.4,-8.2,-6.4,-6.9,-6.9,-6.2,-6.6,-7.2,-6.3,-7.6
c1(cc(NCCc2c[nH]c3ccc(cc23)OC)ncn1)c1cccc(c1)OC,-5.5,-7.6,-8.1,-7.0,-6.7,-9.0,-6.8,-7.3,-7.4,-8.3,-6.9,-7.9,-8.8,-6.9,-7.3,-6.8,-7.3,-5.9,-8.5,-7.1,-7.3,-7.1,-7.8,-7.6,-8.1,-7.2,-7.9,-7.4,-6.1,-7.9,-6.7,-5.9,-8.3,-6.5,-6.9,-7.2,-7.7,-5.9,-7.7,-7.7,-8.5
C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@H]2C(=O)C[C@@]2(C)[C@@H]1CC[C@]2(Cl)[S@@](O)CCc1ccccc1,-5.3,-7.0,-8.6,-6.7,-6.5,-10.2,-8.0,-7.6,-8.1,-9.6,-5.7,-8.8,-8.0,-8.4,-8.4,-6.5,-8.2,-7.4,-9.2,-7.6,-6.6,-7.5,-7.6,-8.0,-8.1,-5.6,-8.6,-7.1,-7.5,-8.3,-8.6,-7.1,-9.3,-7.8,-7.3,-7.6,-7.7,-7.3,-7.6,-7.0,-8.9
Cc1cc(=O)oc2c(c(ccc12)O)CN[C@H](C(=O)O)[C@@H](C)O,-5.2,-6.1,-6.7,-6.1,-5.9,-6.9,-5.9,-5.5,-6.0,-6.9,-5.9,-7.3,-6.9,-6.1,-6.1,-6.3,-6.7,-5.7,-6.9,-5.8,-6.0,-6.6,-6.6,-6.6,-6.0,-6.9,-6.9,-6.1,-5.7,-6.8,-6.5,-5.2,-7.8,-6.1,-6.0,-6.2,-5.7,-6.1,-6.9,-6.7,-7.2
c1(csc(Nc2cccc(C)c2)n1)c1c(cncc1)CC,-4.7,-6.8,-6.6,-5.6,-5.7,-7.7,-6.2,-6.0,-6.5,-8.4,-5.8,-6.7,-7.4,-7.5,-6.6,-6.0,-7.1,-5.6,-8.1,-5.7,-6.3,-6.6,-6.5,-6.6,-6.5,-5.7,-7.0,-6.6,-6.1,-6.8,-6.6,-5.9,-7.8,-6.2,-6.4,-6.5,-5.9,-5.6,-7.3,-6.3,-7.3
[C@@]12(CC[C@H]([C@H]1[C@H]1CC[C@H]3[C@]4(C)Cc5cnoc5C(C)(C)[C@@H]4CC[C@@]3(C)[C@@]1(C)CC2)C(C)C)C(=O)OC,-6.6,-6.5,-9.2,-6.8,-6.5,-10.5,-7.7,-7.3,-8.3,-9.4,-6.5,-6.7,-7.4,-8.2,-8.9,-6.3,-7.7,-6.8,-9.5,-6.7,-7.0,-8.3,-6.3,-8.6,-7.3,-5.7,-7.7,-6.3,-7.8,-8.9,-8.2,-7.3,-9.1,-7.8,-8.7,-7.3,-6.6,-7.6,-7.4,-6.5,-9.1
CN1CC[C@]23Cc4nc5cc(ccc5cc4C[C@]2([C@H]1Cc1ccc(cc31)O)O)N(=O)=O,-5.9,-7.5,-9.2,-7.3,-7.2,-9.7,-7.1,-8.4,-8.2,-10.2,-8.0,-8.0,-8.0,-8.6,-9.0,-7.2,-8.8,-7.4,-9.3,-7.6,-7.2,-8.8,-7.3,-8.8,-8.0,-7.8,-10.0,-7.8,-8.3,-8.8,-8.2,-7.6,-9.0,-7.8,-8.5,-8.5,-6.9,-7.7,-8.3,-7.1,-10.2
c1(ccc(cc1)C(=O)/C=C/c1ccccc1)OCC(=O)O,-5.2,-6.7,-6.5,-5.7,-6.3,-7.5,-6.1,-6.2,-6.4,-8.0,-5.8,-6.9,-7.2,-6.8,-7.1,-6.0,-6.7,-5.6,-7.7,-5.8,-6.3,-6.3,-6.5,-6.3,-7.0,-6.1,-6.6,-6.2,-6.0,-6.8,-7.2,-5.3,-7.3,-6.4,-6.2,-6.5,-6.1,-5.8,-6.8,-6.3,-7.1
O=S(=O)(c1ccccc1)Sc1ccccc1,-4.2,-6.2,-5.8,-4.9,-5.7,-7.0,-5.3,-5.1,-5.4,-7.2,-5.0,-5.9,-6.4,-6.0,-5.8,-5.6,-6.1,-5.1,-6.8,-5.3,-6.0,-6.0,-5.5,-5.6,-5.5,-5.8,-5.9,-5.7,-5.3,-6.1,-5.6,-4.6,-6.5,-4.9,-5.3,-5.5,-5.3,-5.1,-5.5,-5.7,-6.3
N(C(=O)c1cccc(c1)NC(=O)N)(C1CC1)Cc1ccc(C)o1,-5.3,-6.1,-6.5,-6.0,-5.8,-7.7,-6.2,-6.3,-6.3,-7.8,-5.6,-7.0,-7.9,-6.8,-6.9,-6.2,-6.9,-5.9,-7.7,-5.9,-6.1,-7.1,-6.6,-6.7,-6.5,-6.0,-6.5,-6.4,-6.1,-7.1,-6.5,-5.7,-7.7,-6.5,-6.5,-6.9,-5.9,-5.9,-7.2,-6.7,-7.2
c1(ccc(cc1)c1cc([nH]n1)Cc1nnn[nH]1)OCCN(C)Cc1ccccc1,-5.3,-6.1,-6.5,-6.0,-6.0,-7.4,-5.7,-6.2,-6.4,-8.2,-5.6,-7.9,-7.0,-6.9,-6.9,-6.3,-6.8,-5.5,-8.1,-5.7,-7.2,-6.9,-6.6,-6.8,-7.8,-5.4,-7.0,-7.3,-6.4,-7.4,-6.5,-5.5,-7.0,-6.3,-6.6,-6.4,-7.0,-5.8,-7.5,-6.9,-7.9
O=C(N([C@@H]1CCOC1)CCc1ccccc1)C1CCOCC1,-4.9,-5.6,-6.2,-5.4,-4.8,-7.6,-5.3,-5.4,-6.1,-7.1,-5.1,-6.6,-6.4,-6.6,-6.0,-5.2,-7.0,-5.3,-7.1,-5.4,-5.5,-6.2,-6.4,-6.2,-5.9,-5.1,-6.5,-5.2,-5.8,-6.6,-6.1,-4.9,-6.9,-5.6,-5.7,-6.2,-5.9,-5.2,-6.0,-6.3,-6.9
C1(=C2[C@H]3NCC[C@]2(C[C@H]([C@@H]1O)O)c1c(ccc(c1O)OC)[C@@H]3O[C@H]1O[C@@H]([C@@H]([C@@H]([C@@H]1O)O)O)CO)OC,-6.5,-6.6,-7.3,-6.7,-6.4,-7.8,-6.2,-6.5,-6.9,-7.5,-6.3,-6.7,-7.3,-7.7,-7.2,-5.8,-7.3,-6.3,-8.1,-6.4,-5.5,-7.6,-7.5,-7.3,-6.9,-5.7,-7.7,-6.6,-6.4,-7.3,-6.4,-7.3,-7.7,-6.4,-6.9,-6.0,-6.1,-7.0,-6.8,-6.8,-7.3
C/N=C(/N1CCN(C(=O)[C@H]2CCCO2)CC1)\S,-3.9,-4.7,-5.5,-4.3,-4.6,-5.8,-4.4,-4.5,-5.2,-6.4,-4.8,-5.5,-5.3,-5.0,-5.2,-4.9,-5.6,-4.3,-5.8,-4.9,-5.0,-5.3,-5.2,-5.0,-5.1,-5.8,-6.2,-5.0,-4.6,-5.4,-4.8,-4.7,-5.8,-4.6,-5.6,-4.9,-4.3,-4.8,-5.1,-5.2,-5.6
C(=O)(c1ccccc1SCC(=O)N1CCCC1)OCC(=O)N(C)C1(CCCCC1)C#N,-4.9,-6.3,-6.7,-6.0,-5.8,-8.2,-5.9,-6.3,-7.1,-8.5,-5.4,-7.2,-7.8,-6.7,-7.1,-5.2,-6.8,-6.2,-7.7,-6.2,-6.5,-6.2,-6.8,-6.8,-6.9,-5.9,-7.0,-6.1,-6.2,-7.7,-6.5,-5.5,-7.4,-6.5,-6.8,-6.3,-5.4,-5.7,-7.5,-6.7,-7.3
c1(nc(c(o1)N(C)C)S(=O)(=O)c1ccccc1)/C=C/c1cccc(c1)OC,-5.3,-7.1,-7.3,-5.9,-6.1,-8.4,-6.4,-6.6,-6.8,-8.6,-6.2,-7.2,-7.0,-7.3,-6.9,-6.2,-7.2,-6.1,-8.5,-6.4,-6.8,-6.8,-6.8,-6.6,-7.3,-6.3,-7.4,-6.7,-6.3,-7.4,-7.4,-6.1,-7.3,-6.2,-6.8,-6.9,-7.1,-6.3,-7.4,-6.4,-8.2
c1(cn(cc1c1cccc2ccccc12)c1ccc(cc1)C(=O)O)C#N,-5.8,-6.9,-7.8,-6.4,-7.7,-9.0,-7.2,-7.3,-7.0,-9.2,-6.7,-8.5,-7.7,-8.1,-7.7,-6.7,-7.8,-6.8,-8.8,-6.7,-6.9,-7.6,-7.8,-7.3,-7.3,-7.0,-8.1,-7.0,-7.0,-7.7,-7.8,-6.6,-9.0,-7.2,-6.9,-7.4,-6.9,-6.8,-8.0,-6.9,-8.1
n1(cnc2c(ncnc12)N)C[C@@H](N)CN,-5.0,-5.5,-5.5,-4.4,-5.1,-5.3,-4.6,-4.8,-4.9,-5.6,-4.5,-6.4,-5.6,-5.0,-5.4,-5.1,-5.1,-4.8,-5.5,-5.4,-5.0,-5.3,-5.0,-4.6,-5.3,-6.0,-5.6,-5.3,-4.6,-5.7,-5.2,-4.5,-5.4,-4.5,-5.1,-4.8,-4.8,-5.0,-5.7,-4.9,-5.4
c1(ccc(cc1C1=CCCCC1)CCS(=O)(=O)N1CCOCC1)NC(=O)c1[nH]cc(n1)C#N,-5.6,-7.0,-7.7,-6.5,-6.0,-8.7,-6.6,-6.9,-6.8,-9.0,-6.5,-8.1,-8.2,-7.9,-7.4,-6.7,-7.9,-6.2,-8.2,-6.2,-6.9,-7.6,-7.3,-7.4,-6.8,-6.5,-7.7,-7.2,-6.9,-7.7,-7.2,-6.3,-8.8,-7.3,-7.3,-7.9,-7.1,-6.7,-7.7,-7.3,-8.1
c1(cc2c(=O)n(c(=O)[nH]c2cc1Cl)O)N,-5.5,-5.8,-6.0,-5.4,-5.5,-6.0,-4.9,-5.8,-5.4,-6.9,-5.6,-7.1,-6.1,-5.5,-6.1,-6.3,-6.0,-5.2,-6.6,-5.8,-5.5,-6.0,-5.8,-5.4,-6.0,-6.7,-6.2,-5.8,-5.1,-6.2,-5.5,-5.2,-6.4,-5.2,-5.4,-5.9,-5.8,-5.4,-6.7,-5.7,-6.2
N1(CN=C(Nc2nc3ccccc3s2)NC1)Cc1ccc(cc1)OC,-5.6,-7.0,-7.3,-6.1,-6.1,-8.4,-6.3,-6.8,-6.8,-8.8,-6.0,-8.3,-8.7,-7.6,-7.0,-6.4,-7.5,-6.4,-7.9,-6.6,-7.1,-7.1,-7.0,-7.0,-7.4,-6.7,-8.1,-6.7,-6.3,-7.8,-7.0,-6.4,-7.5,-6.9,-7.3,-6.8,-6.7,-6.7,-7.9,-6.8,-8.6
O=c1c2c([nH]c3cc(Cl)cc(Cl)c13)CCCC2,-5.5,-6.8,-6.8,-5.6,-6.0,-7.7,-5.8,-6.4,-6.1,-8.5,-6.1,-7.1,-7.1,-6.6,-6.9,-6.0,-7.0,-5.8,-7.5,-6.0,-6.7,-6.7,-6.6,-6.5,-6.9,-7.4,-7.4,-6.1,-5.5,-6.7,-6.2,-5.6,-7.8,-6.2,-6.3,-6.4,-6.4,-5.8,-7.3,-6.6,-7.0
[C@@H]1([C@@H](O[C@@H]2CC(=O)N12)CCO)C(=O)O,-4.2,-4.7,-5.2,-4.2,-4.6,-5.6,-4.3,-4.5,-4.8,-5.5,-4.2,-6.0,-4.7,-4.8,-5.2,-5.1,-5.4,-4.1,-5.1,-5.0,-5.6,-5.1,-5.0,-4.6,-4.8,-5.6,-5.3,-4.8,-4.3,-5.3,-5.4,-4.3,-5.4,-4.4,-4.8,-4.7,-4.5,-5.2,-5.1,-4.8,-5.4
