SMILES,Mean_Dock
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4cccc(c4)C(=O)OC(C)(C)C,0.9756097197532654
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4cccc(c4)C(=O)O,0.9268292188644409
O=C(NNC1=Nc2ccccc2C(=O)N1c3ccccc3)Nc4cccc(c4)C#N,0.9512194991111755
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc(F)c4)c1,0.9999999403953552
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4ccccc4)c1,0.9999999403953552
CCOC(=O)c1ccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc(OC(C)C)c4)cc1,0.9024389982223511
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4ccccc4,0.9512194991111755
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4ccc(Cl)c(Cl)c4)c1,0.9999999403953552
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4ccc(Br)cc4,0.9756097197532654
CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14,0.9512194991111755
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc(Cl)c4)c1,0.9999999403953552
COc1ccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc(OC(C)C)c4)cc1,0.8780487775802612
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc(Cl)c4Cl)c1,0.9756097197532654
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4ccc(Cl)cc4)c1,0.9756097197532654
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4cccc(c4)C(F)(F)F,0.9756097197532654
CC12CCC3C(C1CCC2=O)C(=CC4=CC(=O)CCC34C)c5ccccc5,0.7560975551605225
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccnc4)c1,0.9756097197532654
CN(C)c1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4cccc(C)c4,0.9756097197532654
CCOC(=O)c1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4ccccc4)c1,0.707317054271698
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc5ccccc45)c1,0.9999999403953552
CC(C)Oc1cccc(c1)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4cccc(C)c4,0.9512194991111755
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c4ccccc4)c5ccccc15,0.9512194991111755
COc1ccc(cc1OC)N2C(=Nc3ccccc3C2=O)NNC(=O)Nc4cccc(C)c4,0.9024389982223511
Cc1cccc(NC(=O)NNC2=Nc3ccccc3C(=O)N2c4cccc(N)c4)c1,0.9999999403953552
Fc1ccc2N(C3CCN(CCN4CCCc5ccccc5C4=O)CC3)C(=O)Oc2c1,0.9512194991111755
CN1CCC23C4C[C@]5(CCc6ccccc6)CO[C@@H]5C2Oc7c(O)ccc(CC14)c37,0.8780487775802612
Fc1ccc2c(ccn2C3CCN(CCN4CCCc5ccccc5C4=O)CC3)c1,0.9268292188644409
O=C1N(CCN2CCC(CC2)n3ccc4ccccc34)CCCc5ccccc15,0.7560975551605225
Oc1nc2cc(F)ccc2n1C3CCN(CCN4CCCc5ccccc5C4=O)CC3,0.7317072749137878
CC(C)(C)c1ccc(cc1)C2=Cc3ccc(NC(=O)NC4CCCCC4)cc3C5=NCCCN25,0.7317072749137878
CC(C)(C)c1ccc(cc1)C2=Cc3ccc(N\C(=N\C4CCCCC4)\S)cc3C5=NCCCN25,0.707317054271698
CC(C)(C)c1ccc(cc1)C2=Cc3ccc(NC(=O)Nc4ccc(Cl)cc4Cl)cc3C5=NCCCN25,0.8292682766914368
CC(=O)C(NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.8292682766914368
CC(C)C(NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.7317072749137878
OP(=O)(O)C(Cc1cccc2ccccc12)N[C@H](Cc3ccc(cc3)c4ccccc4)c5nnn[nH]5,0.7560975551605225
OP(=O)(O)C(N[C@@H](Cc1ccc(cc1)c2ccccc2)c3nnn[nH]3)c4cccc5ccccc45,0.8536584973335266
Fc1cccc(CN2CCC(CC2)C3(CCC(=O)NC3=O)c4ccccc4)c1,0.7317072749137878
NC(=O)C(NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.8536584973335266
O=C(NC(Cc1ccccc1)c2ccccc2)c3cc(nc4ccccc34)c5ccccc5,0.707317054271698
CC(NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.7804877758026123
O=C(NC1(CCCC1)c2ccccc2)c3cc(nc4ccccc34)c5ccccc5,0.8780487775802612
OC(=O)[C@@H](NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.707317054271698
OP(=O)(O)C(Cc1cccc2ccccc12)N[C@@H](Cc3ccc(cc3)c4ccccc4)c5nnn[nH]5,0.7560975551605225
CNC(=O)C(NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.8292682766914368
CC(C)(NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.8536584973335266
O=C(NC(c1ccccc1)c2ccccc2)c3cc(nc4ccccc34)c5ccccc5,0.7560975551605225
FC(F)(F)C(NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,0.8048779964447021
OP(=O)(O)C(N[C@H](Cc1ccc(cc1)c2ccccc2)c3nnn[nH]3)c4cccc5ccccc45,0.8536584973335266
Fc1ccc2C(=O)N(Cc3nc4cc(ccc4s3)C(F)(F)F)C(=O)C5(CC(=O)NC5=O)c2c1,0.7804877758026123
CC1=CC2=C(NC(=O)[C@H](Cc3ccccc3)C2)C(=O)N1CC(=O)NCc4ccc(N)nc4C,0.7560975551605225
Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@@H](Cc2ccc(cc2)c3cccc(NC(=O)NCc4ccccc4)c3)C(=O)O,0.9756097197532654
Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@@H](Cc2ccc(cc2)c3cccc(NC(=O)NCC(F)(F)C(F)(F)F)c3)C(=O)O,0.9999999403953552
Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@@H](Cc2ccc(cc2)c3cccc(NC(=O)NCCSC(F)(F)F)c3)C(=O)O,0.9512194991111755
Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@@H](Cc2ccc(cc2)c3cccc(NC(=O)NC4CC4)c3)C(=O)O,0.9756097197532654
COc1ccc(cc1)C2(O)OC(=O)C(=C2Cc3cccc4ccccc34)c5ccc6OCOc6c5,0.9268292188644409
COc1ccc(cc1)C2(O)OC(=O)C(=C2Cc3ccc4ccccc4c3)c5ccc6OCOc6c5,0.707317054271698
